subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
100,2,38,0.1119,0.2925,-0.1484,0.1484,0.1414,-0.1083,0.1083,0.1659,-0.1449,0.1449,0.2874,-0.1417,0.1417,-2.9561,-3.5675,3.5675,0.3352,-0.117,0.117,0.1412,-0.1583,0.1583,0.1419,-0.1071,0.1071,0.2255,-0.1215,0.1215,0.3546,-0.1585,0.1585
100,2,39,0.0975,0.1713,-0.1568,0.1568,0.1405,-0.1199,0.1199,0.1915,-0.1438,0.1438,0.4581,-0.143,0.143,0.4548,-0.1986,0.1986,0.4669,0.0,0.0,0.0497,-0.1607,0.1607,0.1178,-0.1176,0.1176,0.225,-0.1175,0.1175,0.3549,-0.1441,0.1441
100,2,40,0.1066,0.2229,-0.1584,0.1584,0.1495,-0.1242,0.1242,0.1987,-0.1667,0.1667,0.2849,-0.1358,0.1358,-2.8859,-3.463,3.463,0.3445,-0.1017,0.1017,0.1326,-0.1448,0.1448,0.1145,-0.0949,0.0949,0.2162,-0.0996,0.0996,0.3395,-0.156,0.156
100,2,41,0.1121,0.2978,-0.134,0.134,0.1508,-0.1182,0.1182,0.2533,-0.1473,0.1473,0.3363,-0.1257,0.1257,-3.0079,-3.5881,3.5881,-2.9729,-3.4092,3.4092,3.4359,-0.1573,0.1573,0.1078,-0.12,0.12,0.2138,-0.1059,0.1059,0.3745,-0.1585,0.1585
100,2,42,0.1247,0.3603,-0.1442,0.1442,0.1543,-0.1475,0.1475,0.1963,-0.1464,0.1464,0.2853,-0.1324,0.1324,-2.8617,-3.4834,3.4834,0.4935,0.0,0.0,0.0342,-0.1672,0.1672,0.1916,-0.1611,0.1611,0.459,-0.139,0.139,0.3313,-0.1618,0.1618
100,2,43,0.0989,0.2379,-0.1408,0.1408,0.1821,-0.1203,0.1203,0.1435,-0.1639,0.1639,0.2684,-0.1364,0.1364,-11.3984,-12.0079,12.0079,0.4755,0.0,0.0,0.086,-0.1741,0.1741,0.3079,-0.1331,0.1331,0.3105,-0.1063,0.1063,0.3139,-0.1665,0.1665
100,2,44,0.1162,0.2317,-0.1581,0.1581,0.149,-0.1412,0.1412,0.1907,-0.1592,0.1592,0.2848,-0.1355,0.1355,-17.2991,-17.9204,17.9204,0.4583,0.0,0.0,0.1071,-0.1699,0.1699,0.213,-0.1272,0.1272,0.2505,-0.1175,0.1175,0.4782,-0.1682,0.1682
100,2,45,0.1176,0.2496,-0.1475,0.1475,0.1609,-0.1075,0.1075,0.3769,-0.145,0.145,0.3546,-0.1563,0.1563,-3.9368,-4.6543,4.6543,0.5107,0.0,0.0,1.748,-0.1501,0.1501,0.1677,-0.1072,0.1072,0.216,-0.1079,0.1079,0.3833,-0.1707,0.1707
100,2,46,0.1184,0.1941,-0.1726,0.1726,0.2076,-0.1296,0.1296,0.2127,-0.1423,0.1423,3.8581,-0.1418,0.1418,0.5077,-0.1668,0.1668,0.46,0.0,0.0,0.0575,-0.1618,0.1618,0.1532,-0.1167,0.1167,0.428,-0.1285,0.1285,0.3454,-0.1632,0.1632
100,2,47,0.1078,0.1661,-0.1679,0.1679,0.1679,-0.1074,0.1074,0.1507,-0.1566,0.1566,0.2892,-0.1675,0.1675,0.6484,-0.1837,0.1837,-3.1085,-3.767,3.767,3.808,-0.1672,0.1672,0.1438,-0.1135,0.1135,0.2456,-0.1167,0.1167,0.7137,-0.1268,0.1268
100,2,48,0.1082,0.4027,-0.1635,0.1635,0.1545,-0.1347,0.1347,0.1813,-0.1339,0.1339,0.4092,-0.1507,0.1507,-4.1469,-4.8803,4.8803,0.4567,-0.1235,0.1235,0.1904,-0.1421,0.1421,0.1105,-0.1208,0.1208,0.2435,-0.1133,0.1133,0.4915,-0.135,0.135
100,2,49,0.1073,0.3492,-0.153,0.153,0.1439,-0.1164,0.1164,0.174,-0.1457,0.1457,0.2544,-0.152,0.152,-3.5951,-4.2559,4.2559,0.4239,0.0,0.0,0.0496,-0.1536,0.1536,0.0956,-0.1159,0.1159,0.2835,-0.1067,0.1067,0.605,-0.1518,0.1518
100,2,50,0.1158,1.4805,-0.1588,0.1588,0.1443,-0.1254,0.1254,0.1571,-0.1603,0.1603,0.4757,-0.169,0.169,1.41,-0.1413,0.1413,-5.2055,-6.5847,6.5847,6.624,-0.1474,0.1474,0.1487,-0.115,0.115,0.4665,-0.1018,0.1018,0.5385,-0.1185,0.1185
100,3,1,0.1114,0.3292,-0.1326,0.1326,0.1591,-0.0927,0.0927,0.1166,-0.1495,0.1495,0.2879,-0.1229,0.1229,0.4294,-0.1674,0.1674,0.356,-0.1178,0.1178,0.494,-0.1274,0.1274,0.1407,-0.1051,0.1051,0.2177,-0.1341,0.1341,-3.9103,-4.4716,4.4716
100,3,2,0.112,0.2583,-0.1437,0.1437,0.1928,-0.0954,0.0954,0.1398,-0.1512,0.1512,0.2818,-0.125,0.125,0.5347,-0.1759,0.1759,0.4141,-0.1243,0.1243,0.2013,-0.1528,0.1528,0.1785,-0.0907,0.0907,0.2154,-0.097,0.097,0.3686,-0.129,0.129
100,3,3,0.1122,0.2341,-0.1322,0.1322,0.1873,-0.1112,0.1112,0.1285,-0.143,0.143,0.2746,-0.1272,0.1272,0.4558,-0.1593,0.1593,0.4109,-0.1037,0.1037,0.1658,-0.1468,0.1468,0.1789,-0.1044,0.1044,0.2051,-0.0907,0.0907,0.2994,-0.1208,0.1208
100,3,4,0.0981,0.21,-0.1441,0.1441,0.2556,-0.0978,0.0978,0.131,-0.1432,0.1432,0.2634,-0.1274,0.1274,0.4118,-0.1677,0.1677,0.3536,-0.0972,0.0972,0.1658,-0.1355,0.1355,0.1628,-0.1054,0.1054,0.2406,-0.0935,0.0935,0.2918,-0.1029,0.1029
100,3,5,0.1121,0.2167,-0.1469,0.1469,0.2222,-0.1054,0.1054,0.1313,-0.1393,0.1393,0.2789,-0.1136,0.1136,0.3701,-0.1531,0.1531,0.3315,-0.1003,0.1003,0.1517,-0.1195,0.1195,0.1354,-0.1129,0.1129,0.2299,-0.0888,0.0888,0.2629,-0.0968,0.0968
100,3,6,0.0975,0.2225,-0.1392,0.1392,0.2333,-0.1002,0.1002,0.1626,-0.1537,0.1537,0.3083,-0.1118,0.1118,0.6222,-0.1593,0.1593,0.6674,-0.128,0.128,0.1805,-0.1385,0.1385,0.1705,-0.0875,0.0875,0.2419,-0.1039,0.1039,0.4181,-0.1131,0.1131
100,3,7,0.105,0.2295,-0.1386,0.1386,0.2152,-0.0904,0.0904,0.1319,-0.1588,0.1588,0.2798,-0.1116,0.1116,0.4154,-0.1575,0.1575,0.3646,-0.1113,0.1113,0.151,-0.1377,0.1377,0.1622,-0.0928,0.0928,0.2206,-0.1107,0.1107,0.2982,-0.1396,0.1396
100,3,8,0.1051,0.2371,-0.1246,0.1246,0.1941,-0.1041,0.1041,0.1194,-0.1308,0.1308,0.2424,-0.1366,0.1366,0.3956,-0.1689,0.1689,0.3981,0.0,0.0,0.0194,-0.1423,0.1423,0.1423,-0.0903,0.0903,0.2102,-0.099,0.099,0.2838,-0.1104,0.1104
100,3,9,0.1044,0.209,-0.132,0.132,0.2103,-0.0963,0.0963,0.1232,-0.1411,0.1411,0.2752,-0.1289,0.1289,0.4749,-0.1702,0.1702,-3.0154,-3.4397,3.4397,3.4467,-0.1332,0.1332,0.1501,-0.0932,0.0932,0.2088,-0.0962,0.0962,0.4629,-0.0976,0.0976
100,3,10,0.0963,0.4997,-0.1374,0.1374,0.1374,-0.098,0.098,0.1399,-0.1362,0.1362,0.2979,-0.1278,0.1278,-3.018,-3.5746,3.5746,-3.0421,-3.4536,3.4536,3.5118,-0.1434,0.1434,0.8301,-0.1488,0.1488,0.3206,-0.1114,0.1114,0.2792,-0.1191,0.1191
100,3,11,0.1101,0.2025,-0.1363,0.1363,0.1918,-0.1043,0.1043,0.1462,-0.1481,0.1481,0.279,-0.1119,0.1119,0.4248,-0.1458,0.1458,0.353,-0.1034,0.1034,0.1434,-0.136,0.136,0.1899,-0.1124,0.1124,0.2227,-0.1047,0.1047,0.4633,-0.0967,0.0967
100,3,12,0.1098,0.2208,-0.1336,0.1336,0.2082,-0.0971,0.0971,0.1318,-0.1536,0.1536,0.296,-0.1276,0.1276,0.4406,-0.1384,0.1384,0.3281,-0.1094,0.1094,0.118,-0.1242,0.1242,0.1626,-0.0924,0.0924,0.2252,-0.0976,0.0976,0.315,-0.1004,0.1004
100,3,13,0.097,0.2566,-0.1254,0.1254,0.2021,-0.0977,0.0977,0.1267,-0.1397,0.1397,0.2601,-0.1283,0.1283,0.4474,-0.1758,0.1758,0.4445,0.0,0.0,0.0,-0.1271,0.1271,0.143,-0.0953,0.0953,0.2314,-0.1038,0.1038,0.2638,-0.0882,0.0882
100,3,14,0.0951,0.3121,-0.1322,0.1322,0.1711,-0.1027,0.1027,0.1678,-0.1518,0.1518,0.271,-0.1279,0.1279,-6.1508,-7.3569,7.3569,1.0478,-0.1276,0.1276,0.1672,-0.1482,0.1482,0.1421,-0.111,0.111,0.2431,-0.1141,0.1141,0.3428,-0.1239,0.1239
100,3,15,0.1119,0.2145,-0.1513,0.1513,0.234,-0.0867,0.0867,0.1183,-0.1376,0.1376,0.2418,-0.1436,0.1436,-8.5816,-9.2301,9.2301,0.418,-0.127,0.127,0.1913,-0.152,0.152,0.152,-0.1084,0.1084,0.197,-0.1117,0.1117,0.3209,-0.1279,0.1279
100,3,16,0.1025,0.1989,-0.1458,0.1458,0.2017,-0.1038,0.1038,0.1456,-0.1459,0.1459,0.2357,-0.1384,0.1384,0.4383,-0.1515,0.1515,0.4231,-0.1183,0.1183,0.1275,-0.149,0.149,0.1701,-0.0967,0.0967,0.1906,-0.1122,0.1122,0.2639,-0.1092,0.1092
100,3,17,0.1107,0.2226,-0.1457,0.1457,0.1803,-0.1139,0.1139,0.1184,-0.1379,0.1379,0.2712,-0.1323,0.1323,0.4775,-0.1929,0.1929,0.4843,-0.1135,0.1135,0.1135,-0.1424,0.1424,0.1424,-0.102,0.102,0.2064,-0.1112,0.1112,0.2421,-0.1363,0.1363
100,3,18,0.1141,0.2062,-0.1587,0.1587,0.1874,-0.0902,0.0902,0.1634,-0.1523,0.1523,0.2577,-0.1322,0.1322,-2.4703,-3.1223,3.1223,0.6482,-0.1208,0.1208,0.1567,-0.1265,0.1265,0.1094,-0.1138,0.1138,0.2109,-0.1047,0.1047,0.2403,-0.1273,0.1273
100,3,19,0.1113,0.2216,-0.1318,0.1318,0.1803,-0.1113,0.1113,0.1179,-0.139,0.139,0.2504,-0.1232,0.1232,0.4387,-0.1676,0.1676,0.3559,-0.1281,0.1281,0.1639,-0.1459,0.1459,0.1429,-0.1049,0.1049,0.2046,-0.1306,0.1306,0.2166,-0.1411,0.1411
100,3,20,0.1032,0.212,-0.1436,0.1436,0.1698,-0.1077,0.1077,0.139,-0.1535,0.1535,0.2404,-0.1517,0.1517,-2.4758,-3.0747,3.0747,-2.4518,-2.9574,2.9574,3.0223,-0.1596,0.1596,0.128,-0.1243,0.1243,0.2531,-0.1271,0.1271,0.2487,-0.123,0.123
100,3,21,0.1314,0.2147,-0.1452,0.1452,0.2307,-0.1112,0.1112,0.138,-0.1523,0.1523,0.2593,-0.1337,0.1337,0.4364,-0.1599,0.1599,0.3918,-0.1388,0.1388,0.169,-0.1528,0.1528,0.1305,-0.1461,0.1461,0.2386,-0.1658,0.1658,0.441,-0.1188,0.1188
100,3,22,0.1402,0.202,-0.1667,0.1667,0.2563,-0.0839,0.0839,0.1189,-0.1597,0.1597,0.2643,-0.1328,0.1328,0.4151,-0.1819,0.1819,0.4435,0.0,0.0,0.0582,-0.1505,0.1505,0.098,-0.1321,0.1321,0.3526,-0.1443,0.1443,0.2741,-0.1377,0.1377
100,3,23,0.1275,0.205,-0.1595,0.1595,0.1912,-0.0971,0.0971,0.1775,-0.1593,0.1593,0.2529,-0.1397,0.1397,-2.5767,-3.2301,3.2301,0.4258,-0.1308,0.1308,0.1741,-0.1447,0.1447,0.1384,-0.1284,0.1284,0.3121,-0.1274,0.1274,0.2479,-0.1347,0.1347
100,3,24,0.1273,0.2695,-0.1529,0.1529,0.2016,-0.1107,0.1107,0.1248,-0.1459,0.1459,0.2431,-0.1473,0.1473,0.4343,-0.1828,0.1828,0.4649,0.0,0.0,0.0511,-0.153,0.153,0.1505,-0.1281,0.1281,0.2229,-0.1251,0.1251,0.2693,-0.1443,0.1443
100,3,25,0.1164,0.3392,-0.1458,0.1458,0.162,-0.1093,0.1093,0.1394,-0.1504,0.1504,0.2608,-0.1623,0.1623,0.4426,-0.1918,0.1918,-2.6303,-3.1372,3.1372,3.1713,-0.1376,0.1376,0.1124,-0.164,0.164,0.2467,-0.1403,0.1403,0.3211,-0.103,0.103
100,3,26,0.1441,1.2862,-0.1308,0.1308,0.1951,-0.0942,0.0942,0.1054,-0.1286,0.1286,0.4975,-0.1444,0.1444,0.6671,-0.1919,0.1919,0.6864,-0.1583,0.1583,0.207,-0.1191,0.1191,0.1283,-0.1302,0.1302,0.2087,-0.1237,0.1237,0.2846,-0.1447,0.1447
